id,isPublic,name,status,description,holderId,startTime,endTime,startDate,endDate,meetId_x,finalPlaceId_y,meetId_y,finalPlaceId
1,True,輕鬆聚會計畫,active,討論好友聚會中的分工與飲料準備。,608,11:30:00,19:30:00,2023-10-21,2023-11-07,1.0,17048.0,1.0,9.0
2,False,年度大會日程,active,會議目的是整理當前的資源分配方案。,355,09:15:00,13:30:00,2023-03-26,2023-04-13,2.0,23032.0,2.0,18.0
3,True,興趣分享計畫,active,戶外燒烤活動購物。,114,11:30:00,14:00:00,2023-09-03,2023-09-17,3.0,27473.0,3.0,20.0
4,False,輕鬆聚會細節,active,討論好友聚會中的分工與飲料準備。,837,16:45:00,20:30:00,2022-11-24,2022-12-14,4.0,13868.0,4.0,29.0
5,False,實驗報告分工,deleted,討論即將到來的期末報告分工與進度。,63,16:45:00,22:15:00,2023-08-01,2023-08-06,5.0,11651.0,5.0,36.0
6,False,工作坊重點,active,我們將聚焦於團隊協作提升效率。,362,15:45:00,22:45:00,2022-01-08,2022-01-27,6.0,11663.0,6.0,45.0
7,False,聚會細節,active,要見面了ㄟ，嗚嗚嗚嗚嗚嗚好爽喔！,833,10:45:00,14:45:00,2022-05-21,2022-06-04,7.0,23136.0,7.0,53.0
8,False,學習計劃檢討,active,大家來臨時報佛腳，不想被當掉 QQ。,314,17:45:00,20:15:00,2023-08-26,2023-09-01,8.0,27722.0,8.0,63.0
9,True,興趣分享計劃,deleted,討論電影之夜的片單與時間。,590,07:30:00,13:30:00,2023-12-18,2023-12-18,9.0,21847.0,9.0,65.0
10,False,課堂簡報安排,active,解決數學作業中難題的討論會。,94,15:15:00,19:00:00,2022-11-27,2022-12-01,10.0,31041.0,10.0,72.0
11,True,實驗報告分工,active,解決數學作業中難題的討論會。,815,15:00:00,21:45:00,2023-08-06,2023-08-08,11.0,28400.0,11.0,80.0
12,False,技術討論討論,active,認真衝業績啊你各位。,175,11:15:00,13:45:00,2022-05-26,2022-05-28,12.0,585.0,12.0,89.0
13,False,實驗報告更新,active,大家來臨時報佛腳，不想被當掉 QQ。,691,08:30:00,13:00:00,2023-06-07,2023-06-12,13.0,8875.0,13.0,97.0
14,True,部門會議安排,active,本次會議旨在解決現有的產品問題。,915,11:15:00,20:00:00,2023-03-07,2023-03-08,14.0,19349.0,14.0,105.0
15,False,課堂簡報討論,active,解決數學作業中難題的討論會。,476,15:00:00,15:45:00,2023-08-29,2023-09-13,15.0,19152.0,15.0,110.0
16,False,週末晚餐細節,active,計劃一場週五晚餐聚會的主題與菜單。,648,11:45:00,15:45:00,2023-06-16,2023-06-19,16.0,18854.0,16.0,117.0
17,False,專題作業分析,active,核對課堂筆記與學習重點。,282,10:45:00,20:00:00,2024-09-05,2024-09-08,17.0,15491.0,17.0,120.0
18,False,興趣分享細節,active,要見面了ㄟ，嗚嗚嗚嗚嗚嗚好爽喔！,856,08:30:00,15:45:00,2024-03-01,2024-03-01,18.0,20811.0,18.0,125.0
19,True,學習計劃計畫,active,為即將舉行的模擬考制定復習計劃。,744,09:00:00,13:30:00,2023-03-09,2023-03-25,19.0,10534.0,19.0,137.0
20,False,年度大會安排,active,此次聚會為團隊建設，增強凝聚力。,702,07:00:00,15:45:00,2024-08-03,2024-08-19,20.0,26785.0,20.0,142.0
21,False,實驗報告分析,active,準備課堂簡報內容與練習展示技巧。,122,10:00:00,17:00:00,2023-01-31,2023-02-08,21.0,4558.0,21.0,146.0
22,False,產品研討計畫,active,這是一個技術分享與創新頭腦風暴的場合。,29,16:15:00,19:15:00,2023-05-13,2023-05-20,22.0,16559.0,22.0,150.0
23,False,工作坊計畫,active,針對最新的政策變化進行應對討論。,868,13:15:00,17:15:00,2024-03-11,2024-03-15,23.0,26932.0,23.0,157.0
24,False,公司簡報日程,active,將進行重要項目的階段性匯報與檢討。,591,08:15:00,21:45:00,2022-07-18,2022-07-31,24.0,7732.0,24.0,170.0
25,False,公司簡報檢討,active,本次會議旨在解決現有的產品問題。,541,13:45:00,19:15:00,2023-01-31,2023-02-14,25.0,8969.0,25.0,176.0
26,False,戶外遊戲細節,active,決定週末桌遊活動的地點與人數。,44,07:30:00,18:30:00,2022-01-27,2022-02-07,,,,
27,False,公司簡報更新,active,重點更新公司的市場推廣計劃。,456,17:30:00,20:15:00,2022-01-25,2022-02-08,,,,
28,False,咖啡廳聚會日程,deleted,輕鬆聚會，聊聊天。,209,09:15:00,15:00:00,2023-01-15,2023-01-31,28.0,4095.0,28.0,205.0
29,True,部門會議重點,active,計劃討論公司年度報表與績效。,770,11:30:00,19:00:00,2022-03-26,2022-04-06,29.0,31323.0,29.0,211.0
30,False,輕鬆聚會細節,active,要見面了ㄟ，嗚嗚嗚嗚嗚嗚好爽喔！,727,17:00:00,21:30:00,2022-11-09,2022-11-27,30.0,29982.0,30.0,224.0
31,False,小組討論總結,active,大家來臨時報佛腳，不想被當掉 QQ。,70,13:45:00,15:45:00,2022-10-08,2022-10-10,31.0,27663.0,31.0,230.0
32,False,培訓活動更新,active,我們將聚焦於團隊協作提升效率。,273,14:30:00,19:00:00,2023-05-22,2023-06-03,32.0,14184.0,32.0,241.0
33,False,學習計劃報告,active,計劃參加學術競賽並分配各自任務。,111,16:15:00,20:00:00,2023-09-11,2023-10-01,33.0,31143.0,33.0,251.0
34,False,部門會議檢討,active,將進行重要項目的階段性匯報與檢討。,884,12:45:00,15:00:00,2024-09-19,2024-09-27,34.0,7883.0,34.0,253.0
35,False,競賽準備更新,active,核對課堂筆記與學習重點。,646,12:15:00,19:00:00,2023-10-19,2023-10-21,35.0,29641.0,35.0,260.0
36,False,咖啡廳聚會細節,active,戶外燒烤活動購物。,225,10:45:00,20:00:00,2022-07-11,2022-07-21,36.0,11887.0,36.0,272.0
37,False,模擬考試安排,active,準備小組作業並確認研究方向。,24,15:45:00,16:45:00,2022-05-30,2022-06-02,,,,
38,False,聚會日程,active,戶外燒烤活動購物。,677,14:45:00,22:30:00,2024-08-19,2024-08-31,38.0,7470.0,38.0,284.0
39,False,期末報告報告,active,解決數學作業中難題的討論會。,374,15:15:00,18:30:00,2023-09-28,2023-10-17,,,,
40,True,課堂簡報更新,active,大家來臨時報佛腳，不想被當掉 QQ。,942,11:45:00,18:00:00,2024-09-03,2024-09-12,40.0,29392.0,40.0,308.0
41,True,週末晚餐主題,deleted,商討聚會中遊戲與活動的安排。,807,11:30:00,21:15:00,2022-05-08,2022-05-18,41.0,28115.0,41.0,314.0
42,False,週末晚餐清單,active,戶外燒烤活動購物。,421,07:15:00,16:30:00,2023-05-18,2023-05-20,42.0,6664.0,42.0,316.0
43,False,輕鬆聚會規劃,active,計劃一場週五晚餐聚會的主題與菜單。,291,10:45:00,13:45:00,2022-06-21,2022-07-03,43.0,9910.0,43.0,324.0
44,True,公司簡報重點,deleted,會議目的是整理當前的資源分配方案。,961,07:45:00,19:15:00,2022-07-16,2022-07-19,44.0,1272.0,44.0,328.0
45,False,聚會主題,active,商討聚會中遊戲與活動的安排。,262,08:15:00,16:15:00,2024-07-09,2024-07-20,45.0,26448.0,45.0,336.0
46,False,週末晚餐計畫,deleted,討論電影之夜的片單與時間。,431,12:15:00,22:00:00,2022-11-23,2022-11-30,46.0,21620.0,46.0,344.0
47,False,興趣分享細節,active,咖啡廳聚會，聊聊天。,292,12:45:00,13:45:00,2023-08-22,2023-09-03,47.0,2028.0,47.0,356.0
48,False,數據分析安排,deleted,準備小組作業並確認研究方向。,960,12:30:00,13:00:00,2023-03-04,2023-03-10,48.0,13964.0,48.0,358.0
49,False,課堂簡報分工,active,討論實驗報告中的數據分析結果。,801,15:30:00,19:30:00,2023-10-31,2023-11-17,49.0,7582.0,49.0,368.0
50,False,模擬考試安排,active,討論畢業專題計劃與初步內容框架。,729,09:45:00,11:15:00,2022-04-19,2022-05-08,,,,
51,False,聚會清單,active,要見面了ㄟ，嗚嗚嗚嗚嗚嗚好爽喔！,409,12:00:00,13:00:00,2023-08-23,2023-09-06,51.0,14947.0,51.0,384.0
52,False,咖啡廳聚會主題,active,戶外燒烤活動購物。,337,09:00:00,11:30:00,2022-12-05,2022-12-25,,,,
53,False,期末報告計畫,active,為即將舉行的模擬考制定復習計劃。,93,11:00:00,12:45:00,2023-10-14,2023-10-22,53.0,10999.0,53.0,396.0
54,False,策略會議重點,active,重點更新公司的市場推廣計劃。,268,17:00:00,21:00:00,2022-09-07,2022-09-17,54.0,26797.0,54.0,404.0
